date,btc,fiat_amount,fiat_currency,note
2026-06-08,0.005231,376.84124,USD,首次提现到冷钱包；平均成本 $72040/BTC
2026-08-20,0.01,664.1163,USD,第二次提现到冷钱包；平均成本 $66411.63/BTC
